,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,5.0,319.0,93.6,47.0,110.66385538597908,12246.488888888889
BatchDeliveryConfirmResponse_sent,2.0,240.0,78.0,53.5,73.03797268918035,5334.545454545455
BatchRequest_received,1.0,651.0,187.45454545454547,62.0,223.36085764357352,49890.072727272716
BatchRequest_sent,3.0,438.0,174.66666666666666,133.0,157.50978805564222,24809.333333333336
BatchSentResponse_received,2.0,240.0,78.0,53.5,73.03797268918035,5334.545454545455
BatchSentResponse_sent,5.0,319.0,93.8,47.0,110.83100248175649,12283.511111111111
BatchUnavailableResponse_received,1.0,355.0,123.22222222222223,113.0,126.89639255882905,16102.694444444445
BatchUnavailableResponse_sent,1.0,472.0,112.3,12.0,162.84556419435495,26518.67777777778
HeartbeatReq_received,19.0,420.0,174.5,149.5,149.93483432963316,22480.454545454544
HeartbeatReq_sent,20.0,420.0,178.83333333333334,150.0,153.6263668972895,23601.060606060608
HeartbeatResp_received,20.0,409.0,170.5,146.0,144.99435725697617,21023.363636363636
HeartbeatResp_sent,19.0,420.0,174.41666666666666,149.5,149.78618599574366,22435.901515151512
InformLeaderOfDeathReq_received,10.0,10.0,10.0,10.0,,
InformLeaderOfDeathReq_sent,1.0,4.0,2.0,1.0,1.414213562373095,1.9999999999999998
WaitingForBatchResponse_received,5.0,319.0,93.6,47.0,110.66385538597908,12246.488888888889
WaitingForBatchResponse_sent,2.0,240.0,78.0,53.5,73.03797268918035,5334.545454545455
batch_unavailable_messages_received,1.0,355.0,123.22222222222223,113.0,126.89639255882905,16102.694444444445
batch_unavailable_messages_sent,0.0,473.0,80.28571428571429,4.0,145.57177905467412,21191.142857142862
batches_consumed_total,0.0,239.0,63.57142857142857,42.0,74.50938431934833,5551.648351648351
batches_delivered,0.0,319.0,66.85714285714286,21.0,101.99913811314376,10403.824175824177
batches_produced_total,0.0,709.0,104.57142857142857,46.0,188.0154307438679,35349.80219780219
batches_received,2.0,240.0,78.0,53.5,73.03797268918035,5334.545454545455
batches_requested,3.0,438.0,174.66666666666666,133.0,157.50978805564222,24809.333333333336
bootstrap_all_paths_time_sec,2.408027648925781e-05,2.408027648925781e-05,2.408027648925781e-05,2.408027648925781e-05,,
empty_outbound_inventory_occurrences,0.0,473.0,80.28571428571429,4.0,145.57177905467412,21191.142857142862
failed_flow_queries,0.0,0.0,0.0,0.0,0.0,0.0
flow_queries,674.0,1738.0,957.7142857142857,792.5,350.3816443584006,122767.2967032967
full_flow_bootstrap_time_sec,0.005517959594726562,0.005517959594726562,0.005517959594726562,0.005517959594726562,,
heartbeats_sent,20.0,420.0,178.66666666666666,150.0,153.56747603893768,23582.969696969696
inbound_wal_size,0.0,478.0,133.57142857142858,67.5,148.4808789998612,22046.571428571428
num_nodes,11.0,11.0,11.0,11.0,,
outbound_wal_size,0.0,699.0,107.35714285714286,47.5,183.73291951712332,33757.78571428572
received_messages,0.0,2128.0,723.3571428571429,473.5,744.6758310879933,554542.0934065934
sent_messages,0.0,2150.0,734.2142857142857,520.5,746.6246280192177,557448.3351648352
skipped_manufacture_cycles,0.0,431.0,136.14285714285714,84.5,142.70726203442712,20365.36263736264
successful_manufacture_cycles,0.0,709.0,108.07142857142857,47.5,186.2126428351425,34675.14835164835
total_manufacture_cycles,613.0,749.0,703.1428571428571,709.5,35.3245548567024,1247.8241758241768
unanswered_batch_requests_current,0.0,18.0,3.7142857142857144,0.0,7.39468178364145,54.68131868131869
wal_ghost_inbound_batches,0.0,46.0,5.071428571428571,0.0,12.369094772638196,152.99450549450552
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,49.0,8.428571428571429,0.0,16.500416245165944,272.26373626373623
wal_recovered_outbound_batches,0.0,49.0,6.5,0.0,14.047994655684983,197.34615384615384
