,value,value,value,value,value,value
,min,max,mean,median,std,var
metric_name,,,,,,
BatchDeliveryConfirmResponse_received,1.0,11.0,3.2,1.0,4.381780460041329,19.2
BatchDeliveryConfirmResponse_sent,1.0,6.0,2.2857142857142856,2.0,1.7994708216848745,3.2380952380952377
BatchRequest_received,3.0,40.0,20.90909090909091,19.0,13.05721674365977,170.49090909090907
BatchRequest_sent,2.0,92.0,21.363636363636363,8.0,29.343730939581377,861.0545454545454
BatchSentResponse_received,1.0,6.0,2.2857142857142856,2.0,1.7994708216848745,3.2380952380952377
BatchSentResponse_sent,1.0,11.0,3.2,1.0,4.381780460041329,19.2
BatchUnavailableResponse_received,4.0,90.0,26.5,9.0,31.386985473964476,985.1428571428571
BatchUnavailableResponse_sent,3.0,40.0,21.4,22.5,13.525284963110142,182.9333333333333
HeartbeatReq_received,10.0,40.0,23.083333333333332,20.0,10.74039387574127,115.35606060606061
HeartbeatReq_sent,20.0,40.0,31.11111111111111,30.0,7.817359599705716,61.111111111111114
HeartbeatResp_received,20.0,40.0,30.77777777777778,30.0,7.726217990999505,59.69444444444443
HeartbeatResp_sent,10.0,40.0,23.083333333333332,20.0,10.74039387574127,115.35606060606061
InformLeaderOfDeathReq_received,9.0,9.0,9.0,9.0,,
InformLeaderOfDeathReq_sent,1.0,3.0,1.8,1.0,1.0954451150103324,1.2000000000000002
WaitingForBatchResponse_received,1.0,11.0,3.2,1.0,4.381780460041329,19.2
WaitingForBatchResponse_sent,1.0,6.0,2.2857142857142856,2.0,1.7994708216848745,3.2380952380952377
batch_unavailable_messages_received,4.0,90.0,26.625,9.0,31.536543428672893,994.5535714285714
batch_unavailable_messages_sent,0.0,40.0,15.285714285714286,11.5,15.07636240267205,227.29670329670333
batches_consumed_total,0.0,5.0,0.7142857142857143,0.0,1.4373357526806554,2.065934065934066
batches_delivered,0.0,11.0,1.1428571428571428,0.0,2.9050921568102517,8.43956043956044
batches_produced_total,0.0,728.0,52.142857142857146,0.0,194.525401601261,37840.13186813187
batches_received,1.0,6.0,2.2857142857142856,2.0,1.7994708216848745,3.2380952380952377
batches_requested,2.0,92.0,21.454545454545453,9.0,29.299705242079266,858.4727272727272
bootstrap_all_paths_time_sec,4.553794860839844e-05,4.553794860839844e-05,4.553794860839844e-05,4.553794860839844e-05,,
empty_outbound_inventory_occurrences,0.0,40.0,15.285714285714286,11.5,15.07636240267205,227.29670329670333
failed_flow_queries,0.0,0.0,0.0,0.0,0.0,0.0
flow_queries,579.0,1469.0,737.8571428571429,690.5,217.80861646544977,47440.5934065934
full_flow_bootstrap_time_sec,0.006813526153564453,0.006813526153564453,0.006813526153564453,0.006813526153564453,,
heartbeats_sent,20.0,40.0,31.0,30.0,7.681145747868608,59.0
inbound_wal_size,0.0,11.0,2.2857142857142856,1.0,3.291681156364455,10.835164835164836
num_nodes,11.0,11.0,11.0,11.0,,
outbound_wal_size,0.0,727.0,52.642857142857146,0.0,194.09855036230243,37674.24725274725
received_messages,0.0,158.0,75.28571428571429,71.0,50.53624528902091,2553.9120879120883
sent_messages,0.0,157.0,75.92857142857143,64.5,50.82014180604786,2582.686813186813
skipped_manufacture_cycles,0.0,92.0,12.357142857142858,5.0,23.689033953927495,561.1703296703297
successful_manufacture_cycles,0.0,729.0,52.785714285714285,0.0,194.63305852944785,37882.02747252747
total_manufacture_cycles,578.0,751.0,669.7857142857143,660.0,61.91082740079111,3832.9505494505474
unanswered_batch_requests_current,0.0,2.0,0.5,0.0,0.8548504142651103,0.7307692307692307
wal_ghost_inbound_batches,0.0,1.0,0.14285714285714285,0.0,0.36313651960128146,0.13186813186813187
wal_ghost_outbound_batches,0.0,0.0,0.0,0.0,0.0,0.0
wal_recovered_inbound_batches,0.0,6.0,0.9285714285714286,0.0,1.7304639535412156,2.9945054945054945
wal_recovered_outbound_batches,0.0,5.0,0.7142857142857143,0.0,1.4373357526806554,2.065934065934066
